method,answered,coverage,selective_accuracy,risk,wrong_answered
Confidence only,84,0.42,0.8571428571428571,0.14285714285714285,12
Confidence only,85,0.425,0.8470588235294118,0.15294117647058825,13
Confidence only,86,0.43,0.8488372093023255,0.1511627906976744,13
Confidence only,87,0.435,0.8505747126436781,0.14942528735632185,13
Confidence only,88,0.44,0.8409090909090909,0.1590909090909091,14
Confidence only,89,0.445,0.8426966292134831,0.15730337078651685,14
Confidence only,90,0.45,0.8444444444444444,0.15555555555555556,14
Confidence only,91,0.455,0.8351648351648352,0.16483516483516483,15
Confidence only,92,0.46,0.8369565217391305,0.16304347826086957,15
Confidence only,93,0.465,0.8387096774193549,0.16129032258064516,15
Confidence only,94,0.47,0.8404255319148937,0.1595744680851064,15
Confidence only,95,0.475,0.8421052631578947,0.15789473684210525,15
Confidence only,96,0.48,0.84375,0.15625,15
Confidence only,97,0.485,0.8350515463917526,0.16494845360824742,16
Confidence only,98,0.49,0.826530612244898,0.17346938775510204,17
Confidence only,99,0.495,0.8181818181818182,0.18181818181818182,18
Confidence only,100,0.5,0.82,0.18,18
Confidence only,101,0.505,0.8118811881188119,0.18811881188118812,19
Confidence only,102,0.51,0.803921568627451,0.19607843137254902,20
Confidence only,103,0.515,0.7961165048543689,0.20388349514563106,21
Confidence only,104,0.52,0.7884615384615384,0.21153846153846154,22
Confidence only,105,0.525,0.780952380952381,0.21904761904761905,23
Confidence only,106,0.53,0.7830188679245284,0.2169811320754717,23
Confidence only,107,0.535,0.7757009345794392,0.22429906542056074,24
Confidence only,108,0.54,0.7685185185185185,0.23148148148148148,25
Confidence only,109,0.545,0.7614678899082569,0.23853211009174313,26
Confidence only,110,0.55,0.7545454545454545,0.24545454545454545,27
Confidence only,111,0.555,0.7567567567567568,0.24324324324324326,27
Confidence only,112,0.56,0.75,0.25,28
Confidence only,113,0.565,0.7433628318584071,0.25663716814159293,29
Confidence only,114,0.57,0.7368421052631579,0.2631578947368421,30
Confidence only,115,0.575,0.7304347826086957,0.26956521739130435,31
Confidence only,116,0.58,0.7241379310344828,0.27586206896551724,32
Confidence only,117,0.585,0.717948717948718,0.28205128205128205,33
Confidence only,118,0.59,0.711864406779661,0.288135593220339,34
Confidence only,119,0.595,0.7142857142857143,0.2857142857142857,34
Confidence only,120,0.6,0.7166666666666667,0.2833333333333333,34
Confidence only,121,0.605,0.7107438016528925,0.2892561983471074,35
Confidence only,122,0.61,0.7049180327868853,0.29508196721311475,36
Confidence only,123,0.615,0.6991869918699187,0.3008130081300813,37
Confidence only,124,0.62,0.6935483870967742,0.3064516129032258,38
Confidence only,125,0.625,0.688,0.312,39
Confidence only,126,0.63,0.6825396825396826,0.31746031746031744,40
Confidence only,127,0.635,0.6850393700787402,0.31496062992125984,40
Confidence only,128,0.64,0.6796875,0.3203125,41
Confidence only,129,0.645,0.6744186046511628,0.32558139534883723,42
Confidence only,130,0.65,0.6692307692307692,0.33076923076923076,43
Confidence only,131,0.655,0.6641221374045801,0.33587786259541985,44
Confidence only,132,0.66,0.6590909090909091,0.3409090909090909,45
Confidence only,133,0.665,0.6616541353383458,0.3383458646616541,45
Confidence only,134,0.67,0.6567164179104478,0.34328358208955223,46
Confidence only,135,0.675,0.6518518518518519,0.34814814814814815,47
Confidence only,136,0.68,0.6470588235294118,0.35294117647058826,48
Confidence only,137,0.685,0.6423357664233577,0.35766423357664234,49
Confidence only,138,0.69,0.6376811594202898,0.36231884057971014,50
Confidence only,139,0.695,0.6330935251798561,0.3669064748201439,51
Confidence only,140,0.7,0.6285714285714286,0.37142857142857144,52
Confidence only,141,0.705,0.624113475177305,0.375886524822695,53
Confidence only,142,0.71,0.6197183098591549,0.38028169014084506,54
Confidence only,143,0.715,0.6153846153846154,0.38461538461538464,55
Confidence only,144,0.72,0.6111111111111112,0.3888888888888889,56
Confidence only,145,0.725,0.6068965517241379,0.3931034482758621,57
Confidence only,146,0.73,0.6027397260273972,0.3972602739726027,58
Confidence only,147,0.735,0.5986394557823129,0.4013605442176871,59
Confidence only,148,0.74,0.5945945945945946,0.40540540540540543,60
Confidence only,149,0.745,0.5906040268456376,0.40939597315436244,61
Confidence only,150,0.75,0.5866666666666667,0.41333333333333333,62
Confidence only,151,0.755,0.5827814569536424,0.41721854304635764,63
Confidence only,152,0.76,0.5789473684210527,0.42105263157894735,64
Confidence only,153,0.765,0.5751633986928104,0.42483660130718953,65
Confidence only,154,0.77,0.5714285714285714,0.42857142857142855,66
Confidence only,155,0.775,0.567741935483871,0.432258064516129,67
Confidence only,156,0.78,0.5641025641025641,0.4358974358974359,68
Confidence only,157,0.785,0.5605095541401274,0.4394904458598726,69
Confidence only,158,0.79,0.5569620253164557,0.4430379746835443,70
Confidence only,159,0.795,0.5534591194968553,0.44654088050314467,71
Confidence only,160,0.8,0.55,0.45,72
Confidence only,161,0.805,0.546583850931677,0.453416149068323,73
Confidence only,162,0.81,0.5432098765432098,0.4567901234567901,74
Confidence only,163,0.815,0.5398773006134969,0.4601226993865031,75
Confidence only,164,0.82,0.5365853658536586,0.4634146341463415,76
Confidence only,165,0.825,0.5333333333333333,0.4666666666666667,77
Confidence only,166,0.83,0.5301204819277109,0.46987951807228917,78
Confidence only,167,0.835,0.5269461077844312,0.47305389221556887,79
Confidence only,168,0.84,0.5238095238095238,0.47619047619047616,80
Confidence only,169,0.845,0.5207100591715976,0.47928994082840237,81
Confidence only,170,0.85,0.5176470588235295,0.4823529411764706,82
Confidence only,171,0.855,0.5146198830409356,0.4853801169590643,83
Confidence only,172,0.86,0.5116279069767442,0.4883720930232558,84
Confidence only,173,0.865,0.5086705202312138,0.4913294797687861,85
Confidence only,174,0.87,0.5057471264367817,0.4942528735632184,86
Confidence only,175,0.875,0.5028571428571429,0.49714285714285716,87
Confidence only,176,0.88,0.5,0.5,88
Confidence only,177,0.885,0.4971751412429379,0.5028248587570622,89
Confidence only,178,0.89,0.4943820224719101,0.5056179775280899,90
Confidence only,179,0.895,0.49162011173184356,0.5083798882681564,91
Confidence only,180,0.9,0.4888888888888889,0.5111111111111111,92
Confidence only,181,0.905,0.4861878453038674,0.5138121546961326,93
Confidence only,182,0.91,0.4835164835164835,0.5164835164835165,94
Confidence only,183,0.915,0.4808743169398907,0.5191256830601093,95
Confidence only,184,0.92,0.4782608695652174,0.5217391304347826,96
Confidence only,185,0.925,0.4756756756756757,0.5243243243243243,97
Confidence only,186,0.93,0.4731182795698925,0.5268817204301075,98
Confidence only,187,0.935,0.47058823529411764,0.5294117647058824,99
Confidence only,188,0.94,0.46808510638297873,0.5319148936170213,100
Confidence only,189,0.945,0.4656084656084656,0.5343915343915344,101
Confidence only,190,0.95,0.4631578947368421,0.5368421052631579,102
Confidence only,191,0.955,0.4607329842931937,0.5392670157068062,103
Confidence only,192,0.96,0.4583333333333333,0.5416666666666666,104
Confidence only,193,0.965,0.45595854922279794,0.5440414507772021,105
Confidence only,194,0.97,0.4536082474226804,0.5463917525773195,106
Confidence only,195,0.975,0.4512820512820513,0.5487179487179488,107
Confidence only,196,0.98,0.4489795918367347,0.5510204081632653,108
Confidence only,197,0.985,0.4467005076142132,0.5532994923857868,109
Confidence only,198,0.99,0.4444444444444444,0.5555555555555556,110
Confidence only,199,0.995,0.44221105527638194,0.5577889447236181,111
Confidence only,200,1.0,0.445,0.555,111
Old semantic verifier only,1,0.005,1.0,0.0,0
Old semantic verifier only,2,0.01,0.5,0.5,1
Old semantic verifier only,3,0.015,0.6666666666666666,0.3333333333333333,1
Old semantic verifier only,4,0.02,0.75,0.25,1
Old semantic verifier only,5,0.025,0.8,0.2,1
Old semantic verifier only,6,0.03,0.6666666666666666,0.3333333333333333,2
Old semantic verifier only,7,0.035,0.5714285714285714,0.42857142857142855,3
Old semantic verifier only,8,0.04,0.625,0.375,3
Old semantic verifier only,9,0.045,0.5555555555555556,0.4444444444444444,4
Old semantic verifier only,10,0.05,0.6,0.4,4
Old semantic verifier only,11,0.055,0.5454545454545454,0.45454545454545453,5
Old semantic verifier only,12,0.06,0.5833333333333334,0.4166666666666667,5
Old semantic verifier only,13,0.065,0.6153846153846154,0.38461538461538464,5
Old semantic verifier only,14,0.07,0.6428571428571429,0.35714285714285715,5
Old semantic verifier only,15,0.075,0.6666666666666666,0.3333333333333333,5
Old semantic verifier only,16,0.08,0.6875,0.3125,5
Old semantic verifier only,17,0.085,0.6470588235294118,0.35294117647058826,6
Old semantic verifier only,18,0.09,0.6666666666666666,0.3333333333333333,6
Old semantic verifier only,19,0.095,0.6842105263157895,0.3157894736842105,6
Old semantic verifier only,20,0.1,0.7,0.3,6
Old semantic verifier only,21,0.105,0.7142857142857143,0.2857142857142857,6
Old semantic verifier only,22,0.11,0.7272727272727273,0.2727272727272727,6
Old semantic verifier only,23,0.115,0.7391304347826086,0.2608695652173913,6
Old semantic verifier only,24,0.12,0.7083333333333334,0.2916666666666667,7
Old semantic verifier only,25,0.125,0.72,0.28,7
Old semantic verifier only,26,0.13,0.7307692307692307,0.2692307692307692,7
Old semantic verifier only,27,0.135,0.7037037037037037,0.2962962962962963,8
Old semantic verifier only,28,0.14,0.6785714285714286,0.32142857142857145,9
Old semantic verifier only,29,0.145,0.6896551724137931,0.3103448275862069,9
Old semantic verifier only,30,0.15,0.7,0.3,9
Old semantic verifier only,31,0.155,0.7096774193548387,0.2903225806451613,9
Old semantic verifier only,32,0.16,0.71875,0.28125,9
Old semantic verifier only,33,0.165,0.696969696969697,0.30303030303030304,10
Old semantic verifier only,34,0.17,0.7058823529411765,0.29411764705882354,10
Old semantic verifier only,35,0.175,0.7142857142857143,0.2857142857142857,10
Old semantic verifier only,36,0.18,0.6944444444444444,0.3055555555555556,11
Old semantic verifier only,37,0.185,0.6756756756756757,0.32432432432432434,12
Old semantic verifier only,38,0.19,0.6842105263157895,0.3157894736842105,12
Old semantic verifier only,39,0.195,0.6923076923076923,0.3076923076923077,12
Old semantic verifier only,40,0.2,0.7,0.3,12
Old semantic verifier only,41,0.205,0.6829268292682927,0.3170731707317073,13
Old semantic verifier only,42,0.21,0.6666666666666666,0.3333333333333333,14
Old semantic verifier only,43,0.215,0.6744186046511628,0.32558139534883723,14
Old semantic verifier only,44,0.22,0.6818181818181818,0.3181818181818182,14
Old semantic verifier only,45,0.225,0.6888888888888889,0.3111111111111111,14
Old semantic verifier only,46,0.23,0.6956521739130435,0.30434782608695654,14
Old semantic verifier only,47,0.235,0.7021276595744681,0.2978723404255319,14
Old semantic verifier only,48,0.24,0.7083333333333334,0.2916666666666667,14
Old semantic verifier only,49,0.245,0.7142857142857143,0.2857142857142857,14
Old semantic verifier only,50,0.25,0.72,0.28,14
Old semantic verifier only,51,0.255,0.7254901960784313,0.27450980392156865,14
Old semantic verifier only,52,0.26,0.7307692307692307,0.2692307692307692,14
Old semantic verifier only,53,0.265,0.7169811320754716,0.2830188679245283,15
Old semantic verifier only,54,0.27,0.7222222222222222,0.2777777777777778,15
Old semantic verifier only,55,0.275,0.7090909090909091,0.2909090909090909,16
Old semantic verifier only,56,0.28,0.7142857142857143,0.2857142857142857,16
Old semantic verifier only,57,0.285,0.7017543859649122,0.2982456140350877,17
Old semantic verifier only,58,0.29,0.7068965517241379,0.29310344827586204,17
Old semantic verifier only,59,0.295,0.711864406779661,0.288135593220339,17
Old semantic verifier only,60,0.3,0.7,0.3,18
Old semantic verifier only,61,0.305,0.7049180327868853,0.29508196721311475,18
Old semantic verifier only,62,0.31,0.7096774193548387,0.2903225806451613,18
Old semantic verifier only,63,0.315,0.7142857142857143,0.2857142857142857,18
Old semantic verifier only,64,0.32,0.703125,0.296875,19
Old semantic verifier only,65,0.325,0.7076923076923077,0.2923076923076923,19
Old semantic verifier only,66,0.33,0.7121212121212122,0.2878787878787879,19
Old semantic verifier only,67,0.335,0.7164179104477612,0.2835820895522388,19
Old semantic verifier only,68,0.34,0.7058823529411765,0.29411764705882354,20
Old semantic verifier only,69,0.345,0.6956521739130435,0.30434782608695654,21
Old semantic verifier only,70,0.35,0.7,0.3,21
Old semantic verifier only,71,0.355,0.704225352112676,0.29577464788732394,21
Old semantic verifier only,72,0.36,0.7083333333333334,0.2916666666666667,21
Old semantic verifier only,73,0.365,0.6986301369863014,0.3013698630136986,22
Old semantic verifier only,74,0.37,0.7027027027027027,0.2972972972972973,22
Old semantic verifier only,75,0.375,0.6933333333333334,0.30666666666666664,23
Old semantic verifier only,76,0.38,0.6842105263157895,0.3157894736842105,24
Old semantic verifier only,77,0.385,0.6753246753246753,0.3246753246753247,25
Old semantic verifier only,78,0.39,0.6794871794871795,0.32051282051282054,25
Old semantic verifier only,79,0.395,0.6835443037974683,0.31645569620253167,25
Old semantic verifier only,80,0.4,0.675,0.325,26
Old semantic verifier only,81,0.405,0.6790123456790124,0.32098765432098764,26
Old semantic verifier only,82,0.41,0.6829268292682927,0.3170731707317073,26
Old semantic verifier only,83,0.415,0.6867469879518072,0.3132530120481928,26
Old semantic verifier only,84,0.42,0.6904761904761905,0.30952380952380953,26
Old semantic verifier only,85,0.425,0.6823529411764706,0.3176470588235294,27
Old semantic verifier only,86,0.43,0.686046511627907,0.313953488372093,27
Old semantic verifier only,87,0.435,0.6781609195402298,0.3218390804597701,28
Old semantic verifier only,88,0.44,0.6818181818181818,0.3181818181818182,28
Old semantic verifier only,89,0.445,0.6741573033707865,0.3258426966292135,29
Old semantic verifier only,90,0.45,0.6777777777777778,0.32222222222222224,29
Old semantic verifier only,91,0.455,0.6813186813186813,0.31868131868131866,29
Old semantic verifier only,92,0.46,0.6739130434782609,0.32608695652173914,30
Old semantic verifier only,93,0.465,0.6666666666666666,0.3333333333333333,31
Old semantic verifier only,94,0.47,0.6702127659574468,0.32978723404255317,31
Old semantic verifier only,95,0.475,0.6631578947368421,0.3368421052631579,32
Old semantic verifier only,96,0.48,0.6666666666666666,0.3333333333333333,32
Old semantic verifier only,97,0.485,0.6701030927835051,0.32989690721649484,32
Old semantic verifier only,98,0.49,0.6632653061224489,0.336734693877551,33
Old semantic verifier only,99,0.495,0.6666666666666666,0.3333333333333333,33
Old semantic verifier only,100,0.5,0.66,0.34,34
Old semantic verifier only,101,0.505,0.6534653465346535,0.3465346534653465,35
Old semantic verifier only,102,0.51,0.6568627450980392,0.3431372549019608,35
Old semantic verifier only,103,0.515,0.6601941747572816,0.33980582524271846,35
Old semantic verifier only,104,0.52,0.6538461538461539,0.34615384615384615,36
Old semantic verifier only,105,0.525,0.6476190476190476,0.3523809523809524,37
Old semantic verifier only,106,0.53,0.6509433962264151,0.3490566037735849,37
Old semantic verifier only,107,0.535,0.6448598130841121,0.35514018691588783,38
Old semantic verifier only,108,0.54,0.6388888888888888,0.3611111111111111,39
Old semantic verifier only,109,0.545,0.6422018348623854,0.3577981651376147,39
Old semantic verifier only,110,0.55,0.6454545454545455,0.35454545454545455,39
Old semantic verifier only,111,0.555,0.6486486486486487,0.35135135135135137,39
Old semantic verifier only,112,0.56,0.6517857142857143,0.3482142857142857,39
Old semantic verifier only,113,0.565,0.6460176991150443,0.35398230088495575,40
Old semantic verifier only,114,0.57,0.6403508771929824,0.35964912280701755,41
Old semantic verifier only,115,0.575,0.6347826086956522,0.3652173913043478,42
Old semantic verifier only,116,0.58,0.6293103448275862,0.3706896551724138,43
Old semantic verifier only,117,0.585,0.6324786324786325,0.36752136752136755,43
Old semantic verifier only,118,0.59,0.6271186440677966,0.3728813559322034,44
Old semantic verifier only,119,0.595,0.6218487394957983,0.37815126050420167,45
Old semantic verifier only,120,0.6,0.6166666666666667,0.38333333333333336,46
Old semantic verifier only,121,0.605,0.6115702479338843,0.3884297520661157,47
Old semantic verifier only,122,0.61,0.6065573770491803,0.39344262295081966,48
Old semantic verifier only,123,0.615,0.6016260162601627,0.3983739837398374,49
Old semantic verifier only,124,0.62,0.6048387096774194,0.3951612903225806,49
Old semantic verifier only,125,0.625,0.608,0.392,49
Old semantic verifier only,126,0.63,0.6031746031746031,0.3968253968253968,50
Old semantic verifier only,127,0.635,0.5984251968503937,0.4015748031496063,51
Old semantic verifier only,128,0.64,0.6015625,0.3984375,51
Old semantic verifier only,129,0.645,0.5968992248062015,0.40310077519379844,52
Old semantic verifier only,130,0.65,0.5923076923076923,0.4076923076923077,53
Old semantic verifier only,131,0.655,0.5954198473282443,0.40458015267175573,53
Old semantic verifier only,132,0.66,0.5909090909090909,0.4090909090909091,54
Old semantic verifier only,133,0.665,0.5864661654135338,0.41353383458646614,55
Old semantic verifier only,134,0.67,0.582089552238806,0.417910447761194,56
Old semantic verifier only,135,0.675,0.5777777777777777,0.4222222222222222,57
Old semantic verifier only,136,0.68,0.5735294117647058,0.4264705882352941,58
Old semantic verifier only,137,0.685,0.5693430656934306,0.4306569343065693,59
Old semantic verifier only,138,0.69,0.5652173913043478,0.43478260869565216,60
Old semantic verifier only,139,0.695,0.5683453237410072,0.4316546762589928,60
Old semantic verifier only,140,0.7,0.5642857142857143,0.4357142857142857,61
Old semantic verifier only,141,0.705,0.5602836879432624,0.4397163120567376,62
Old semantic verifier only,142,0.71,0.5563380281690141,0.44366197183098594,63
Old semantic verifier only,143,0.715,0.5524475524475524,0.44755244755244755,64
Old semantic verifier only,144,0.72,0.5486111111111112,0.4513888888888889,65
Old semantic verifier only,145,0.725,0.5448275862068965,0.45517241379310347,66
Old semantic verifier only,146,0.73,0.541095890410959,0.4589041095890411,67
Old semantic verifier only,147,0.735,0.5374149659863946,0.46258503401360546,68
Old semantic verifier only,148,0.74,0.5405405405405406,0.4594594594594595,68
Old semantic verifier only,149,0.745,0.5369127516778524,0.46308724832214765,69
Old semantic verifier only,150,0.75,0.5333333333333333,0.4666666666666667,70
Old semantic verifier only,151,0.755,0.5298013245033113,0.47019867549668876,71
Old semantic verifier only,152,0.76,0.5263157894736842,0.47368421052631576,72
Old semantic verifier only,153,0.765,0.5294117647058824,0.47058823529411764,72
Old semantic verifier only,154,0.77,0.5324675324675324,0.4675324675324675,72
Old semantic verifier only,155,0.775,0.5290322580645161,0.47096774193548385,73
Old semantic verifier only,156,0.78,0.5256410256410257,0.47435897435897434,74
Old semantic verifier only,157,0.785,0.5222929936305732,0.47770700636942676,75
Old semantic verifier only,158,0.79,0.5189873417721519,0.4810126582278481,76
Old semantic verifier only,159,0.795,0.5157232704402516,0.48427672955974843,77
Old semantic verifier only,160,0.8,0.5125,0.4875,78
Old semantic verifier only,161,0.805,0.5093167701863354,0.4906832298136646,79
Old semantic verifier only,162,0.81,0.5123456790123457,0.4876543209876543,79
Old semantic verifier only,163,0.815,0.50920245398773,0.49079754601226994,80
Old semantic verifier only,164,0.82,0.5060975609756098,0.49390243902439024,81
Old semantic verifier only,165,0.825,0.503030303030303,0.49696969696969695,82
Old semantic verifier only,166,0.83,0.5,0.5,83
Old semantic verifier only,167,0.835,0.5029940119760479,0.49700598802395207,83
Old semantic verifier only,168,0.84,0.5,0.5,84
Old semantic verifier only,169,0.845,0.4970414201183432,0.5029585798816568,85
Old semantic verifier only,170,0.85,0.49411764705882355,0.5058823529411764,86
Old semantic verifier only,171,0.855,0.49122807017543857,0.5087719298245614,87
Old semantic verifier only,172,0.86,0.4941860465116279,0.5058139534883721,87
Old semantic verifier only,173,0.865,0.49710982658959535,0.5028901734104047,87
Old semantic verifier only,174,0.87,0.4942528735632184,0.5057471264367817,88
Old semantic verifier only,175,0.875,0.49142857142857144,0.5085714285714286,89
Old semantic verifier only,176,0.88,0.4943181818181818,0.5056818181818182,89
Old semantic verifier only,177,0.885,0.4915254237288136,0.5084745762711864,90
Old semantic verifier only,178,0.89,0.4887640449438202,0.5112359550561798,91
Old semantic verifier only,179,0.895,0.4860335195530726,0.5139664804469274,92
Old semantic verifier only,180,0.9,0.48333333333333334,0.5166666666666667,93
Old semantic verifier only,181,0.905,0.48066298342541436,0.5193370165745856,94
Old semantic verifier only,182,0.91,0.47802197802197804,0.521978021978022,95
Old semantic verifier only,183,0.915,0.47540983606557374,0.5245901639344263,96
Old semantic verifier only,184,0.92,0.47282608695652173,0.5271739130434783,97
Old semantic verifier only,185,0.925,0.4702702702702703,0.5297297297297298,98
Old semantic verifier only,186,0.93,0.4731182795698925,0.5268817204301075,98
Old semantic verifier only,187,0.935,0.47058823529411764,0.5294117647058824,99
Old semantic verifier only,188,0.94,0.46808510638297873,0.5319148936170213,100
Old semantic verifier only,189,0.945,0.4656084656084656,0.5343915343915344,101
Old semantic verifier only,190,0.95,0.4631578947368421,0.5368421052631579,102
Old semantic verifier only,191,0.955,0.4607329842931937,0.5392670157068062,103
Old semantic verifier only,192,0.96,0.4583333333333333,0.5416666666666666,104
Old semantic verifier only,193,0.965,0.45595854922279794,0.5440414507772021,105
Old semantic verifier only,194,0.97,0.4536082474226804,0.5463917525773195,106
Old semantic verifier only,195,0.975,0.4512820512820513,0.5487179487179488,107
Old semantic verifier only,196,0.98,0.45408163265306123,0.5459183673469388,107
Old semantic verifier only,197,0.985,0.4517766497461929,0.5482233502538071,108
Old semantic verifier only,198,0.99,0.4494949494949495,0.5505050505050505,109
Old semantic verifier only,199,0.995,0.4472361809045226,0.5527638190954773,110
Old semantic verifier only,200,1.0,0.445,0.555,111
Question-aware semantic V2,1,0.005,1.0,0.0,0
Question-aware semantic V2,2,0.01,1.0,0.0,0
Question-aware semantic V2,3,0.015,1.0,0.0,0
Question-aware semantic V2,4,0.02,1.0,0.0,0
Question-aware semantic V2,5,0.025,1.0,0.0,0
Question-aware semantic V2,6,0.03,1.0,0.0,0
Question-aware semantic V2,7,0.035,0.8571428571428571,0.14285714285714285,1
Question-aware semantic V2,8,0.04,0.875,0.125,1
Question-aware semantic V2,9,0.045,0.8888888888888888,0.1111111111111111,1
Question-aware semantic V2,10,0.05,0.9,0.1,1
Question-aware semantic V2,11,0.055,0.9090909090909091,0.09090909090909091,1
Question-aware semantic V2,12,0.06,0.9166666666666666,0.08333333333333333,1
Question-aware semantic V2,13,0.065,0.9230769230769231,0.07692307692307693,1
Question-aware semantic V2,14,0.07,0.9285714285714286,0.07142857142857142,1
Question-aware semantic V2,15,0.075,0.9333333333333333,0.06666666666666667,1
Question-aware semantic V2,16,0.08,0.9375,0.0625,1
Question-aware semantic V2,17,0.085,0.9411764705882353,0.058823529411764705,1
Question-aware semantic V2,18,0.09,0.9444444444444444,0.05555555555555555,1
Question-aware semantic V2,19,0.095,0.9473684210526315,0.05263157894736842,1
Question-aware semantic V2,20,0.1,0.9,0.1,2
Question-aware semantic V2,21,0.105,0.9047619047619048,0.09523809523809523,2
Question-aware semantic V2,22,0.11,0.9090909090909091,0.09090909090909091,2
Question-aware semantic V2,23,0.115,0.8695652173913043,0.13043478260869565,3
Question-aware semantic V2,24,0.12,0.875,0.125,3
Question-aware semantic V2,25,0.125,0.84,0.16,4
Question-aware semantic V2,26,0.13,0.8461538461538461,0.15384615384615385,4
Question-aware semantic V2,27,0.135,0.8148148148148148,0.18518518518518517,5
Question-aware semantic V2,28,0.14,0.8214285714285714,0.17857142857142858,5
Question-aware semantic V2,29,0.145,0.8275862068965517,0.1724137931034483,5
Question-aware semantic V2,30,0.15,0.8,0.2,6
Question-aware semantic V2,31,0.155,0.8064516129032258,0.1935483870967742,6
Question-aware semantic V2,32,0.16,0.8125,0.1875,6
Question-aware semantic V2,33,0.165,0.7878787878787878,0.21212121212121213,7
